id	label	length	num_loops	max_loop_size	bulge_count	bulge_chain_count	bulge_density	mfe
Hsa-Mir-15-P2a_pre	1	65	8	10	8.0	7.0	0.12307692307692308	-24.4
Hsa-Mir-15-P2b_pre	1	65	5	17	5.0	4.0	0.07692307692307693	-22.4
Hsa-Mir-15-P2c_pre	1	63	6	5	6.0	5.0	0.09523809523809523	-32.7
Hsa-Mir-15-P2d_pre	1	61	4	8	4.0	3.0	0.06557377049180328	-29.7
Hsa-Mir-17-P1a_pre	1	60	7	7	7.0	6.0	0.11666666666666667	-22.9
Hsa-Mir-17-P1c_pre	1	59	6	3	6.0	5.0	0.1016949152542373	-23.9
Hsa-Mir-17-P1d_pre	1	62	7	6	7.0	6.0	0.11290322580645161	-26.2
Hsa-Mir-17-P2a_pre	1	65	11	5	11.0	10.0	0.16923076923076924	-19.0
Hsa-Mir-17-P2c_pre	1	65	8	16	8.0	7.0	0.12307692307692308	-17.2
Hsa-Mir-17-P4a_pre	1	59	2	11	2.0	1.0	0.03389830508474576	-26.5
Hsa-Mir-17-P4c_pre	1	61	5	7	5.0	4.0	0.08196721311475409	-25.8
Hsa-Mir-17-P4d_pre	1	62	5	9	5.0	4.0	0.08064516129032258	-22.7
Hsa-Mir-19-P1a_pre	1	58	3	7	3.0	2.0	0.05172413793103448	-22.9
Hsa-Mir-19-P2a_pre	1	61	4	13	4.0	3.0	0.06557377049180328	-23.8
Hsa-Mir-19-P2c_pre	1	66	5	4	5.0	4.0	0.07575757575757576	-27.0
Hsa-Mir-21_pre	1	60	6	3	6.0	5.0	0.1	-24.8
Hsa-Mir-22-P1b_pre	1	60	4	9	4.0	3.0	0.06666666666666667	-25.9
Hsa-Mir-23-P2_pre	1	61	4	14	4.0	3.0	0.06557377049180328	-22.4
Hsa-Mir-23-P3_pre	1	59	5	10	5.0	4.0	0.0847457627118644	-25.7
Hsa-Mir-24-P2_pre	1	60	7	13	7.0	6.0	0.11666666666666667	-20.7
Hsa-Mir-24-P3_pre	1	60	8	9	8.0	7.0	0.13333333333333333	-21.1
Hsa-Mir-26-P1_pre	1	61	3	15	3.0	2.0	0.04918032786885246	-24.1
Hsa-Mir-26-P2_pre	1	57	4	6	4.0	3.0	0.07017543859649122	-23.1
Hsa-Mir-26-P4_pre	1	60	3	14	3.0	2.0	0.05	-24.7
Hsa-Mir-27-P2_pre	1	63	5	4	5.0	4.0	0.07936507936507936	-25.0
Hsa-Mir-27-P3_pre	1	62	5	8	5.0	4.0	0.08064516129032258	-29.0
Hsa-Mir-28_pre	1	62	4	6	4.0	3.0	0.06451612903225806	-30.1
Hsa-Mir-29-P1b-v1_pre	1	64	4	13	4.0	3.0	0.0625	-24.0
Hsa-Mir-29-P1d-v1_pre	1	65	5	14	5.0	4.0	0.07692307692307693	-23.8
Hsa-Mir-29-P2b_pre	1	60	4	11	4.0	3.0	0.06666666666666667	-21.3
Hsa-Mir-29-P2d_pre	1	58	4	11	4.0	3.0	0.06896551724137931	-22.4
Hsa-Mir-30-P1a_pre	1	62	3	14	3.0	2.0	0.04838709677419355	-26.7
Hsa-Mir-30-P1b_pre	1	63	3	5	3.0	2.0	0.047619047619047616	-31.8
Hsa-Mir-30-P1d_pre	1	64	6	4	6.0	5.0	0.09375	-30.9
Hsa-Mir-30-P2a_pre	1	60	4	12	4.0	3.0	0.06666666666666667	-24.3
Hsa-Mir-30-P2b_pre	1	62	5	14	5.0	4.0	0.08064516129032258	-24.4
Hsa-Mir-30-P2d_pre	1	61	6	4	6.0	5.0	0.09836065573770492	-24.3
Hsa-Mir-31_pre	1	59	7	8	7.0	6.0	0.11864406779661017	-27.7
Hsa-Mir-32_pre	1	62	5	4	5.0	4.0	0.08064516129032258	-24.3
Hsa-Mir-33-P1_pre	1	59	5	5	5.0	4.0	0.0847457627118644	-36.7
Hsa-Mir-33-P3_pre	1	61	6	4	6.0	5.0	0.09836065573770492	-26.0
Hsa-Mir-34-P1_pre	1	65	5	5	5.0	4.0	0.07692307692307693	-27.8
Hsa-Mir-34-P2a_pre	1	59	5	5	5.0	4.0	0.0847457627118644	-23.9
Hsa-Mir-34-P2b_pre	1	55	8	4	8.0	7.0	0.14545454545454545	-21.3
Hsa-Mir-34-P3a-v1_pre	1	58	3	5	3.0	2.0	0.05172413793103448	-30.5
Hsa-Mir-34-P3b_pre	1	60	7	6	7.0	6.0	0.11666666666666667	-25.8
Hsa-Mir-34-P3c_pre	1	62	6	4	6.0	5.0	0.0967741935483871	-24.1
Hsa-Mir-92-P1a_pre	1	59	4	6	4.0	3.0	0.06779661016949153	-31.0
Hsa-Mir-92-P1c_pre	1	61	9	3	9.0	8.0	0.14754098360655737	-25.1
Hsa-Mir-92-P1d_pre	1	63	4	13	4.0	3.0	0.06349206349206349	-32.3
Hsa-Mir-92-P2a_pre	1	60	7	8	7.0	6.0	0.11666666666666667	-20.5
Hsa-Mir-92-P2c_pre	1	65	4	18	4.0	3.0	0.06153846153846154	-23.0
Hsa-Mir-92-P2d_pre	1	60	9	8	9.0	8.0	0.15	-23.6
Hsa-Mir-95_pre	1	57	2	6	2.0	1.0	0.03508771929824561	-21.8
Hsa-Mir-96-P1_pre	1	64	5	6	5.0	4.0	0.078125	-29.5
Hsa-Mir-96-P2_pre	1	65	4	14	4.0	3.0	0.06153846153846154	-22.0
Hsa-Mir-96-P3-v1_pre	1	62	6	6	6.0	5.0	0.0967741935483871	-22.0
Hsa-Mir-101-P1-v1_pre	1	59	2	12	2.0	1.0	0.03389830508474576	-31.4
Hsa-Mir-101-P2-v1_pre	1	59	4	12	4.0	3.0	0.06779661016949153	-22.8
Hsa-Mir-103-P1_pre	1	60	6	5	6.0	5.0	0.1	-21.8
Hsa-Mir-103-P2_pre	1	60	8	5	8.0	7.0	0.13333333333333333	-23.5
Hsa-Mir-103-P4_pre	1	60	9	4	9.0	8.0	0.15	-24.2
Hsa-Mir-105-P1_pre	1	59	5	10	5.0	4.0	0.0847457627118644	-28.8
Hsa-Mir-105-P2_pre	1	59	5	10	5.0	4.0	0.0847457627118644	-28.8
Hsa-Mir-122_pre	1	58	3	12	3.0	2.0	0.05172413793103448	-24.1
Hsa-Mir-124-P1-v1_pre	1	59	5	11	5.0	4.0	0.0847457627118644	-22.5
Hsa-Mir-124-P2-v1_pre	1	61	5	13	5.0	4.0	0.08196721311475409	-22.3
Hsa-Mir-124-P3-v1_pre	1	60	5	12	5.0	4.0	0.08333333333333333	-22.4
Hsa-Mir-126-P2-v1_pre	1	59	5	5	5.0	4.0	0.0847457627118644	-22.1
Hsa-Mir-127_pre	1	56	8	5	8.0	7.0	0.14285714285714285	-25.7
Hsa-Mir-128-P1_pre	1	58	6	8	6.0	5.0	0.10344827586206896	-23.4
Hsa-Mir-128-P2_pre	1	56	4	4	4.0	3.0	0.07142857142857142	-24.8
Hsa-Mir-129-P1_pre	1	64	6	10	6.0	5.0	0.09375	-23.5
Hsa-Mir-129-P2_pre	1	66	11	4	11.0	10.0	0.16666666666666666	-26.4
Hsa-Mir-130-P1c_pre	1	62	7	4	7.0	6.0	0.11290322580645161	-23.7
Hsa-Mir-130-P2a_pre	1	60	7	11	7.0	6.0	0.11666666666666667	-19.5
Hsa-Mir-130-P2b_pre	1	62	8	8	8.0	7.0	0.12903225806451613	-20.0
Hsa-Mir-130-P3b_pre	1	65	5	4	5.0	4.0	0.07692307692307693	-21.5
Hsa-Mir-130-P4a_pre	1	60	7	4	7.0	6.0	0.11666666666666667	-19.4
Hsa-Mir-132-P1_pre	1	58	5	4	5.0	4.0	0.08620689655172414	-25.9
Hsa-Mir-132-P2_pre	1	62	8	3	8.0	7.0	0.12903225806451613	-25.7
Hsa-Mir-133-P1-v1_pre	1	60	7	12	7.0	6.0	0.11666666666666667	-23.5
Hsa-Mir-133-P2-v1_pre	1	59	9	3	9.0	8.0	0.15254237288135594	-23.5
Hsa-Mir-133-P3-v1_pre	1	60	9	8	9.0	8.0	0.15	-23.8
Hsa-Mir-134_pre	1	61	8	5	8.0	7.0	0.13114754098360656	-26.4
Hsa-Mir-135-P1_pre	1	60	3	13	3.0	2.0	0.05	-23.8
Hsa-Mir-135-P2_pre	1	60	6	5	6.0	5.0	0.1	-24.4
Hsa-Mir-135-P4_pre	1	61	4	6	4.0	3.0	0.06557377049180328	-21.7
Hsa-Mir-136-v1_pre	1	56	4	9	4.0	3.0	0.07142857142857142	-20.3
Hsa-Mir-137-P1-v1_pre	1	59	5	5	5.0	4.0	0.0847457627118644	-24.5
Hsa-Mir-138-P1_pre	1	61	5	5	5.0	4.0	0.08196721311475409	-31.8
Hsa-Mir-138-P2_pre	1	68	6	6	6.0	5.0	0.08823529411764706	-29.3
Hsa-Mir-139_pre	1	59	7	7	7.0	6.0	0.11864406779661017	-32.3
Hsa-Mir-140-P2-v1_pre	1	62	6	3	6.0	5.0	0.0967741935483871	-31.5
Hsa-Mir-142-P2-v1_pre	1	59	7	4	7.0	6.0	0.11864406779661017	-23.4
Hsa-Mir-143_pre	1	55	8	6	8.0	7.0	0.14545454545454545	-26.1
Hsa-Mir-144-v1_pre	1	58	5	6	5.0	4.0	0.08620689655172414	-21.5
Hsa-Mir-145_pre	1	60	5	13	5.0	4.0	0.08333333333333333	-26.0
Hsa-Mir-146-P1_pre	1	59	8	8	8.0	7.0	0.13559322033898305	-23.8
Hsa-Mir-146-P4_pre	1	57	6	7	6.0	5.0	0.10526315789473684	-20.8
Hsa-Mir-147-v1_pre	1	60	4	9	4.0	3.0	0.06666666666666667	-25.1
Hsa-Mir-148-P1_pre	1	60	6	7	6.0	5.0	0.1	-17.5
Hsa-Mir-148-P3_pre	1	59	7	4	7.0	6.0	0.11864406779661017	-21.6
Hsa-Mir-148-P4_pre	1	61	6	13	6.0	5.0	0.09836065573770492	-18.3
Hsa-Mir-149_pre	1	62	9	4	9.0	8.0	0.14516129032258066	-30.5
Hsa-Mir-150_pre	1	56	7	4	7.0	6.0	0.125	-29.0
Hsa-Mir-151_pre	1	57	5	8	5.0	4.0	0.08771929824561403	-29.9
Hsa-Mir-153-P1_pre	1	61	5	7	5.0	4.0	0.08196721311475409	-26.9
Hsa-Mir-153-P2_pre	1	60	4	6	4.0	3.0	0.06666666666666667	-24.9
Hsa-Mir-154-P1_pre	1	59	6	10	6.0	5.0	0.1016949152542373	-21.7
Hsa-Mir-154-P2-v1_pre	1	56	6	9	6.0	5.0	0.10714285714285714	-20.3
Hsa-Mir-154-P3-v1_pre	1	55	1	7	1.0	0.0	0.01818181818181818	-36.5
Hsa-Mir-154-P4_pre	1	57	7	4	7.0	6.0	0.12280701754385964	-20.2
Hsa-Mir-154-P5_pre	1	56	7	9	7.0	6.0	0.125	-17.7
Hsa-Mir-154-P6a-v1_pre	1	56	11	8	11.0	10.0	0.19642857142857142	-22.3
Hsa-Mir-154-P6b_pre	1	57	5	8	5.0	4.0	0.08771929824561403	-21.5
Hsa-Mir-154-P7_pre	1	58	9	9	9.0	8.0	0.15517241379310345	-17.4
Hsa-Mir-154-P8a_pre	1	60	7	6	7.0	6.0	0.11666666666666667	-21.8
Hsa-Mir-154-P8b_pre	1	60	7	6	7.0	6.0	0.11666666666666667	-21.8
Hsa-Mir-154-P9_pre	1	56	6	9	6.0	5.0	0.10714285714285714	-18.1
Hsa-Mir-154-P10_pre	1	57	7	6	7.0	6.0	0.12280701754385964	-21.0
Hsa-Mir-154-P11_pre	1	58	8	9	8.0	7.0	0.13793103448275862	-19.6
Hsa-Mir-154-P12_pre	1	58	6	9	6.0	5.0	0.10344827586206896	-21.0
Hsa-Mir-154-P14_pre	1	56	7	9	7.0	6.0	0.125	-20.8
Hsa-Mir-154-P16a_pre	1	60	6	8	6.0	5.0	0.1	-26.0
Hsa-Mir-154-P16b_pre	1	60	6	8	6.0	5.0	0.1	-26.0
Hsa-Mir-154-P17_pre	1	63	8	8	8.0	7.0	0.12698412698412698	-30.2
Hsa-Mir-154-P18_pre	1	58	7	12	7.0	6.0	0.1206896551724138	-20.3
Hsa-Mir-154-P19_pre	1	64	6	9	6.0	5.0	0.09375	-19.1
Hsa-Mir-154-P20_pre	1	59	7	9	7.0	6.0	0.11864406779661017	-17.6
Hsa-Mir-154-P21_pre	1	60	5	12	5.0	4.0	0.08333333333333333	-21.5
Hsa-Mir-154-P23_pre	1	58	6	9	6.0	5.0	0.10344827586206896	-19.1
Hsa-Mir-154-P24_pre	1	58	4	9	4.0	3.0	0.06896551724137931	-23.1
Hsa-Mir-154-P25_pre	1	59	5	11	5.0	4.0	0.0847457627118644	-25.0
Hsa-Mir-154-P26_pre	1	58	8	7	8.0	7.0	0.13793103448275862	-20.8
Hsa-Mir-154-P28-v1_pre	1	54	5	8	5.0	4.0	0.09259259259259259	-19.1
Hsa-Mir-154-P29_pre	1	60	6	9	6.0	5.0	0.1	-21.1
Hsa-Mir-154-P30_pre	1	54	5	8	5.0	4.0	0.09259259259259259	-22.2
Hsa-Mir-154-P31_pre	1	55	7	4	7.0	6.0	0.12727272727272726	-15.5
Hsa-Mir-154-P32_pre	1	56	3	12	3.0	2.0	0.05357142857142857	-22.3
Hsa-Mir-154-P33_pre	1	57	6	10	6.0	5.0	0.10526315789473684	-20.8
Hsa-Mir-154-P34_pre	1	56	6	5	6.0	5.0	0.10714285714285714	-19.5
Hsa-Mir-155_pre	1	61	5	4	5.0	4.0	0.08196721311475409	-23.1
Hsa-Mir-181-P1a_pre	1	62	7	7	7.0	6.0	0.11290322580645161	-21.8
Hsa-Mir-181-P1b_pre	1	60	5	11	5.0	4.0	0.08333333333333333	-20.9
Hsa-Mir-181-P1c_pre	1	61	4	11	4.0	3.0	0.06557377049180328	-24.2
Hsa-Mir-181-P2a_pre	1	60	4	4	4.0	3.0	0.06666666666666667	-23.3
Hsa-Mir-181-P2b_pre	1	60	3	7	3.0	2.0	0.05	-24.7
Hsa-Mir-181-P2c_pre	1	63	5	8	5.0	4.0	0.07936507936507936	-27.5
Hsa-Mir-184_pre	1	62	7	6	7.0	6.0	0.11290322580645161	-23.2
Hsa-Mir-185_pre	1	56	6	6	6.0	5.0	0.10714285714285714	-28.4
Hsa-Mir-186_pre	1	61	4	14	4.0	3.0	0.06557377049180328	-25.0
Hsa-Mir-187_pre	1	58	9	6	9.0	8.0	0.15517241379310345	-28.6
Hsa-Mir-188-P1_pre	1	59	9	13	9.0	8.0	0.15254237288135594	-18.5
Hsa-Mir-188-P2_pre	1	60	7	5	7.0	6.0	0.11666666666666667	-27.1
Hsa-Mir-188-P3_pre	1	59	6	11	6.0	5.0	0.1016949152542373	-20.2
Hsa-Mir-190-P1_pre	1	59	2	10	2.0	1.0	0.03389830508474576	-19.3
Hsa-Mir-190-P3_pre	1	60	4	6	4.0	3.0	0.06666666666666667	-21.0
Hsa-Mir-191_pre	1	64	6	7	6.0	5.0	0.09375	-24.6
Hsa-Mir-192-P2_pre	1	60	7	11	7.0	6.0	0.11666666666666667	-21.6
Hsa-Mir-192-P4_pre	1	65	4	16	4.0	3.0	0.06153846153846154	-29.6
Hsa-Mir-193-P1a_pre	1	59	7	9	7.0	6.0	0.11864406779661017	-27.7
Hsa-Mir-193-P1b_pre	1	56	9	10	9.0	8.0	0.16071428571428573	-24.7
Hsa-Mir-193-P2a_pre	1	61	5	9	5.0	4.0	0.08196721311475409	-24.5
Hsa-Mir-193-P2b_pre	1	62	8	5	8.0	7.0	0.12903225806451613	-25.1
Hsa-Mir-194-P2_pre	1	58	6	6	6.0	5.0	0.10344827586206896	-26.7
Hsa-Mir-194-P4_pre	1	58	5	4	5.0	4.0	0.08620689655172414	-26.1
Hsa-Mir-196-P1_pre	1	58	5	10	5.0	4.0	0.08620689655172414	-24.5
Hsa-Mir-196-P3_pre	1	60	8	9	8.0	7.0	0.13333333333333333	-17.0
Hsa-Mir-196-P4_pre	1	59	4	8	4.0	3.0	0.06779661016949153	-28.1
Hsa-Mir-197_pre	1	61	8	4	8.0	7.0	0.13114754098360656	-28.0
Hsa-Mir-199-P1-v1_pre	1	61	7	6	7.0	6.0	0.11475409836065574	-25.3
Hsa-Mir-199-P2-v1_pre	1	61	6	10	6.0	5.0	0.09836065573770492	-22.7
Hsa-Mir-199-P3-v1_pre	1	63	8	3	8.0	7.0	0.12698412698412698	-24.8
Hsa-Mir-202_pre	1	58	4	6	4.0	3.0	0.06896551724137931	-28.4
Hsa-Mir-203-v1_pre	1	60	7	6	7.0	6.0	0.11666666666666667	-22.0
Hsa-Mir-204-P1_pre	1	58	6	3	6.0	5.0	0.10344827586206896	-26.3
Hsa-Mir-204-P2_pre	1	60	4	15	4.0	3.0	0.06666666666666667	-28.5
Hsa-Mir-205-P4_pre	1	59	3	13	3.0	2.0	0.05084745762711865	-25.6
Hsa-Mir-208-P1-v1_pre	1	57	5	7	5.0	4.0	0.08771929824561403	-16.4
Hsa-Mir-208-P2_pre	1	57	9	3	9.0	8.0	0.15789473684210525	-20.6
Hsa-Mir-210_pre	1	60	11	3	11.0	10.0	0.18333333333333332	-24.5
Hsa-Mir-214-v1_pre	1	63	3	13	3.0	2.0	0.047619047619047616	-34.3
Hsa-Mir-216-P2a_pre	1	62	9	6	9.0	8.0	0.14516129032258066	-19.9
Hsa-Mir-216-P2b_pre	1	62	7	4	7.0	6.0	0.11290322580645161	-25.2
Hsa-Mir-217-v1_pre	1	59	6	8	6.0	5.0	0.1016949152542373	-22.8
Hsa-Mir-218-P2_pre	1	64	5	9	5.0	4.0	0.078125	-26.5
Hsa-Mir-218-P4_pre	1	64	5	12	5.0	4.0	0.078125	-24.0
Hsa-Mir-219-P2_pre	1	65	7	3	7.0	6.0	0.1076923076923077	-25.2
Hsa-Mir-219-P2-as_pre	1	65	8	7	8.0	7.0	0.12307692307692308	-18.8
Hsa-Mir-219-P3_pre	1	63	7	9	7.0	6.0	0.1111111111111111	-25.4
Hsa-Mir-221-P1a_pre	1	64	4	11	4.0	3.0	0.0625	-33.6
Hsa-Mir-221-P2a_pre	1	63	5	5	5.0	4.0	0.07936507936507936	-25.2
Hsa-Mir-223-v1_pre	1	65	2	9	2.0	1.0	0.03076923076923077	-25.2
Hsa-Mir-224_pre	1	69	7	5	7.0	6.0	0.10144927536231885	-26.7
Hsa-Mir-296_pre	1	56	6	9	6.0	5.0	0.10714285714285714	-24.7
Hsa-Mir-320-P1_pre	1	54	5	4	5.0	4.0	0.09259259259259259	-38.1
Hsa-Mir-320-P2a_pre	1	54	5	6	5.0	4.0	0.09259259259259259	-26.3
Hsa-Mir-320-P2b_pre	1	53	5	4	5.0	4.0	0.09433962264150944	-31.4
Hsa-Mir-320-P3_pre	1	54	5	8	5.0	4.0	0.09259259259259259	-30.3
Hsa-Mir-320-P4_pre	1	54	5	4	5.0	4.0	0.09259259259259259	-31.2
Hsa-Mir-324_pre	1	57	10	10	10.0	9.0	0.17543859649122806	-20.6
Hsa-Mir-325_pre	1	60	8	7	8.0	7.0	0.13333333333333333	-11.4
Hsa-Mir-326_pre	1	60	7	6	7.0	6.0	0.11666666666666667	-31.6
Hsa-Mir-328_pre	1	61	5	7	5.0	4.0	0.08196721311475409	-35.7
Hsa-Mir-330-v1_pre	1	64	6	13	6.0	5.0	0.09375	-26.5
Hsa-Mir-331_pre	1	56	6	11	6.0	5.0	0.10714285714285714	-25.5
Hsa-Mir-335_pre	1	58	7	6	7.0	6.0	0.1206896551724138	-20.9
Hsa-Mir-337-as_pre	1	60	7	8	7.0	6.0	0.11666666666666667	-24.0
Hsa-Mir-337-v1_pre	1	60	8	6	8.0	7.0	0.13333333333333333	-24.8
Hsa-Mir-338-P2_pre	1	59	5	13	5.0	4.0	0.0847457627118644	-22.2
Hsa-Mir-338-P2-as_pre	1	63	9	6	9.0	8.0	0.14285714285714285	-20.8
Hsa-Mir-339_pre	1	58	9	4	9.0	8.0	0.15517241379310345	-25.4
Hsa-Mir-340_pre	1	65	6	7	6.0	5.0	0.09230769230769231	-19.2
Hsa-Mir-342_pre	1	67	7	5	7.0	6.0	0.1044776119402985	-23.3
Hsa-Mir-345_pre	1	58	5	8	5.0	4.0	0.08620689655172414	-28.1
Hsa-Mir-346_pre	1	60	7	10	7.0	6.0	0.11666666666666667	-27.8
Hsa-Mir-361-v1_pre	1	64	7	10	7.0	6.0	0.109375	-23.4
Hsa-Mir-362-P3a-v1_pre	1	62	4	9	4.0	3.0	0.06451612903225806	-23.9
Hsa-Mir-362-P3b_pre	1	62	6	9	6.0	5.0	0.0967741935483871	-28.1
Hsa-Mir-362-P4_pre	1	59	4	5	4.0	3.0	0.06779661016949153	-25.2
Hsa-Mir-362-P5_pre	1	60	6	9	6.0	5.0	0.1	-23.7
Hsa-Mir-362-P6_pre	1	60	4	9	4.0	3.0	0.06666666666666667	-25.7
Hsa-Mir-370_pre	1	57	7	9	7.0	6.0	0.12280701754385964	-20.8
Hsa-Mir-374-P1_pre	1	52	3	4	3.0	2.0	0.057692307692307696	-25.4
Hsa-Mir-374-P2_pre	1	52	1	4	1.0	0.0	0.019230769230769232	-31.8
Hsa-Mir-375_pre	1	57	8	8	8.0	7.0	0.14035087719298245	-22.1
Hsa-Mir-376-P1_pre	1	58	6	10	6.0	5.0	0.10344827586206896	-20.8
Hsa-Mir-376-P2_pre	1	58	4	13	4.0	3.0	0.06896551724137931	-23.0
Hsa-Mir-376-P3_pre	1	58	5	5	5.0	4.0	0.08620689655172414	-22.3
Hsa-Mir-376-P4_pre	1	58	6	10	6.0	5.0	0.10344827586206896	-18.4
Hsa-Mir-376-P5_pre	1	58	8	5	8.0	7.0	0.13793103448275862	-15.8
Hsa-Mir-378_pre	1	60	7	8	7.0	6.0	0.11666666666666667	-32.6
Hsa-Mir-383-v1_pre	1	62	5	8	5.0	4.0	0.08064516129032258	-26.6
Hsa-Mir-421-P1-v1_pre	1	63	6	13	6.0	5.0	0.09523809523809523	-14.2
Hsa-Mir-421-P2_pre	1	57	4	9	4.0	3.0	0.07017543859649122	-16.9
Hsa-Mir-423_pre	1	59	6	9	6.0	5.0	0.1016949152542373	-29.0
Hsa-Mir-425_pre	1	63	5	12	5.0	4.0	0.07936507936507936	-22.7
Hsa-Mir-430-P1_pre	1	59	5	11	5.0	4.0	0.0847457627118644	-24.0
Hsa-Mir-430-P2_pre	1	60	7	3	7.0	6.0	0.11666666666666667	-24.6
Hsa-Mir-430-P3_pre	1	61	5	9	5.0	4.0	0.08196721311475409	-27.4
Hsa-Mir-430-P4_pre	1	61	5	6	5.0	4.0	0.08196721311475409	-27.6
Hsa-Mir-430-P5_pre	1	59	6	4	6.0	5.0	0.1016949152542373	-31.1
Hsa-Mir-430-P6_pre	1	59	7	5	7.0	6.0	0.11864406779661017	-23.2
Hsa-Mir-430-P7_pre	1	61	3	14	3.0	2.0	0.04918032786885246	-28.2
Hsa-Mir-430-P8a_pre	1	58	5	12	5.0	4.0	0.08620689655172414	-29.6
Hsa-Mir-430-P8b_pre	1	58	5	12	5.0	4.0	0.08620689655172414	-29.6
Hsa-Mir-430-P9_pre	1	56	4	11	4.0	3.0	0.07142857142857142	-23.4
Hsa-Mir-430-P10_pre	1	60	6	11	6.0	5.0	0.1	-25.3
Hsa-Mir-430-P11_pre	1	61	7	4	7.0	6.0	0.11475409836065574	-29.3
Hsa-Mir-430-P12a_pre	1	59	4	7	4.0	3.0	0.06779661016949153	-26.9
Hsa-Mir-430-P12b_pre	1	59	4	7	4.0	3.0	0.06779661016949153	-26.9
Hsa-Mir-430-P13_pre	1	59	6	6	6.0	5.0	0.1016949152542373	-21.5
Hsa-Mir-430-P14_pre	1	61	2	9	2.0	1.0	0.03278688524590164	-32.8
Hsa-Mir-430-P15_pre	1	60	5	4	5.0	4.0	0.08333333333333333	-27.0
Hsa-Mir-430-P16a_pre	1	59	9	5	9.0	8.0	0.15254237288135594	-24.4
Hsa-Mir-430-P16b_pre	1	59	7	4	7.0	6.0	0.11864406779661017	-19.4
Hsa-Mir-430-P17_pre	1	59	5	3	5.0	4.0	0.0847457627118644	-34.8
Hsa-Mir-430-P18_pre	1	59	7	5	7.0	6.0	0.11864406779661017	-31.6
Hsa-Mir-430-P19_pre	1	60	5	4	5.0	4.0	0.08333333333333333	-29.8
